,sentiment,metacritic_prediction,metacritic_id
2913,positive,1.0,5064
2914,positive,0.9,29526
2915,negative,0.0,9665
2916,positive,0.0,13523
2917,negative,0.2,36759
2918,negative,1.0,15791
2919,positive,0.3,31902
2920,positive,0.3,18382
2921,negative,0.25,18120
2922,positive,0.9,1746
2923,negative,0.3,13546
2924,positive,0.89,33854
2925,positive,1.0,16167
2926,positive,0.9,18818
2927,positive,0.8,12278
2928,positive,0.3,30802
2929,positive,1.0,11699
2930,negative,0.0,6838
2931,positive,0.75,38552
2932,negative,0.2,23680
2933,positive,0.9,5577
2934,positive,1.0,30244
2935,negative,0.1,16339
2936,positive,1.0,34731
2937,positive,1.0,21244
2938,positive,0.8,22090
2939,positive,0.3,34559
2940,positive,0.0,23356
2941,negative,0.0,26456
2942,positive,1.0,846
2943,negative,0.8,23281
2944,positive,0.8,7724
2945,positive,0.9,11550
2946,negative,0.2,5794
2947,positive,1.0,13968
2948,positive,0.8,36193
2949,positive,0.3,14133
2950,positive,1.0,34579
2951,negative,0.2,13547
2952,positive,1.0,35204
2953,positive,1.0,14947
2954,positive,0.9,37685
2955,negative,0.9,29079
2956,positive,1.0,29223
2957,negative,1.0,28916
2958,positive,0.8,7996
2959,negative,0.8,23111
2960,positive,1.0,22324
2961,negative,0.0,32036
2962,negative,0.0,32036
2963,negative,0.8,9378
2964,positive,0.9,28113
2965,negative,0.1,24163
2966,positive,1.0,5144
2967,negative,0.0,26456
2968,positive,0.8,27736
2969,positive,1.0,21592
2970,negative,1.0,3628
2971,positive,1.0,11098
2972,negative,0.1,28342
2973,negative,0.3,5749
2974,positive,1.0,19995
2975,positive,0.9,27494
2976,negative,0.0,32036
2977,negative,0.3,31757
2978,negative,0.3,20796
2979,positive,1.0,37079
2980,positive,0.9,19513
2981,negative,0.3,30685
2982,positive,0.2,19228
2983,positive,1.0,4201
2984,positive,0.8,7278
2985,negative,0.0,12486
2986,negative,0.8,30960
2987,positive,0.8,27043
2988,positive,0.2,7859
2989,negative,0.0,32036
2990,negative,0.0,32036
2991,positive,0.9,30071
2992,positive,0.8,36071
2993,positive,1.0,10773
2994,positive,0.8,34868
2995,negative,0.0,32036
2996,positive,1.0,22734
2997,positive,1.0,12466
2998,positive,0.2,16433
2999,negative,0.38,5591
3000,positive,0.9,35152
3001,positive,0.2,24740
3002,negative,0.75,11033
3003,positive,1.0,17360
3004,negative,0.0,12396
3005,positive,0.3,33116
3006,positive,1.0,9194
3007,positive,1.0,3280
3008,positive,0.3,4020
3009,positive,0.25,24613
3010,positive,1.0,7709
3011,positive,0.8,17106
3012,negative,0.2,5421
3013,positive,0.3,10134
3014,negative,1.0,37732
3015,negative,0.2,16433
3016,positive,1.0,34785
3017,positive,1.0,30835
3018,negative,0.2,16433
3019,negative,0.3,20643
3020,negative,0.8,33113
3021,positive,0.9,33085
3022,negative,0.9,37081
3023,negative,0.2,12450
3024,positive,0.8,22090
3025,negative,0.2,31717
3026,positive,1.0,19582
3027,negative,0.2,4006
3028,positive,0.0,22574
3029,negative,0.1,5076
3030,negative,0.8,7009
3031,positive,0.8,18614
3032,positive,1.0,36137
3033,negative,0.8,7508
3034,positive,0.0,25570
3035,positive,1.0,37246
3036,negative,0.1,28207
3037,negative,1.0,23218
3038,positive,0.9,27743
3039,positive,0.1,34617
3040,negative,0.83,14340
3041,negative,0.2,9432
3042,negative,1.0,1603
3043,positive,1.0,25942
3044,negative,0.9,36806
3045,negative,0.9,592
3046,positive,0.8,9424
3047,negative,0.0,8721
3048,positive,1.0,6151
3049,positive,1.0,14947
3050,positive,0.0,17408
3051,positive,0.8,15301
3052,negative,0.0,26832
3053,negative,1.0,27037
3054,positive,0.2,30446
3055,positive,0.8,18939
3056,negative,0.1,36525
3057,positive,1.0,21629
3058,negative,0.3,38834
3059,positive,0.9,21360
3060,positive,0.8,20318
3061,negative,0.8,12501
3062,negative,0.2,16433
3063,negative,0.8,34357
3064,positive,1.0,19432
3065,negative,0.2,16433
3066,positive,0.91,26675
3067,positive,1.0,8457
3068,positive,1.0,32499
3069,positive,0.9,21739
3070,positive,0.2,16433
3071,positive,0.1,38296
3072,positive,0.8,6279
3073,positive,0.91,35734
3074,negative,1.0,24919
3075,positive,1.0,37246
3076,negative,0.1,27314
3077,positive,0.8,11279
3078,negative,1.0,30425
3079,negative,0.8,29914
3080,negative,1.0,32420
3081,negative,0.0,20925
3082,positive,0.9,522
3083,positive,0.1,34484
3084,negative,0.8,31669
3085,positive,0.2,1858
3086,positive,0.9,30721
3087,positive,0.1,25872
3088,positive,1.0,34731
3089,positive,1.0,29776
3090,positive,0.2,16433
3091,positive,0.9,5345
3092,negative,1.0,26764
3093,positive,0.1,23347
3094,positive,0.9,36743
3095,negative,0.2,30578
3096,negative,0.1,12086
3097,positive,0.1,20049
3098,negative,0.0,4157
3099,negative,0.0,1658
3100,negative,0.0,22574
3101,positive,0.9,27193
3102,negative,0.0,19257
3103,positive,0.8,32962
3104,positive,1.0,37246
3105,positive,0.8,21434
3106,negative,0.0,21501
3107,positive,0.8,31224
3108,positive,1.0,3072
3109,negative,1.0,6128
3110,positive,0.9,27761
3111,negative,0.3,5220
3112,positive,0.8,886
3113,positive,0.3,35071
3114,positive,0.9,16950
3115,positive,0.9,28444
3116,negative,0.2,22933
3117,negative,0.8,17679
3118,positive,0.2,25854
3119,positive,0.9,7227
3120,positive,0.0,18533
3121,negative,0.3,33116
3122,positive,0.2,26511
3123,positive,0.8,36657
3124,positive,0.0,32036
3125,negative,0.3,16877
3126,positive,1.0,9585
3127,negative,1.0,28105
3128,positive,0.1,38296
3129,positive,0.9,9024
3130,positive,0.9,37321
3131,positive,0.8,9903
3132,negative,0.1,353
3133,positive,0.9,15508
3134,negative,0.8,31526
3135,positive,1.0,31026
3136,positive,0.8,20927
3137,negative,1.0,3554
3138,negative,0.3,13607
3139,negative,0.9,24064
3140,positive,0.8,24687
3141,positive,0.8,2155
3142,negative,0.1,12086
3143,positive,0.9,34266
3144,negative,0.3,15678
3145,negative,0.3,37417
3146,negative,0.9,19021
3147,positive,1.0,30425
3148,negative,0.1,38563
3149,positive,0.9,11609
3150,positive,0.9,9067
3151,positive,0.8,2155
3152,negative,0.0,4932
3153,negative,1.0,37246
3154,positive,0.8,23281
3155,positive,0.0,32329
3156,positive,0.8,3086
3157,positive,1.0,32443
3158,positive,1.0,252
3159,negative,0.3,15099
3160,negative,0.3,5749
3161,positive,0.8,18939
3162,positive,0.9,30834
3163,negative,0.9,35152
3164,negative,0.8,35592
3165,negative,1.0,5803
3166,positive,1.0,25424
3167,positive,0.8,11279
3168,negative,0.1,1397
3169,negative,0.2,23680
3170,positive,1.0,37623
3171,positive,1.0,21773
3172,positive,0.9,12341
3173,negative,1.0,25274
3174,negative,0.2,30446
3175,positive,0.9,17767
3176,negative,0.1,28342
3177,positive,1.0,30835
3178,positive,0.8,23271
3179,negative,0.8,5249
3180,positive,0.75,33209
3181,positive,1.0,35135
3182,positive,1.0,6672
3183,positive,1.0,14464
3184,positive,1.0,29223
3185,negative,0.2,24749
3186,positive,1.0,32884
3187,positive,0.8,5948
3188,positive,1.0,33367
3189,positive,0.8,7508
3190,negative,0.9,4262
3191,positive,0.9,38888
3192,positive,1.0,14464
3193,negative,0.1,23377
3194,negative,0.0,31315
3195,negative,1.0,36086
3196,positive,0.1,6729
3197,positive,0.8,9175
3198,positive,0.3,23272
3199,negative,0.1,11198
3200,negative,0.3,14852
3201,negative,0.3,437
3202,positive,0.8,22648
3203,positive,1.0,28105
3204,negative,0.8,35592
3205,negative,0.8,14193
3206,positive,0.8,15807
3207,negative,0.2,19311
3208,positive,0.3,15099
3209,negative,0.0,33283
3210,negative,0.2,10331
3211,negative,0.8,11279
3212,negative,1.0,19796
3213,positive,0.8,34626
3214,positive,0.0,26427
3215,positive,0.8,9381
3216,positive,0.9,26209
3217,negative,0.0,32036
3218,negative,0.9,10720
3219,negative,0.0,24670
3220,negative,1.0,37246
3221,positive,0.0,219
3222,negative,0.1,19369
3223,positive,0.1,19800
3224,negative,0.0,32862
3225,negative,0.9,1024
3226,negative,1.0,24787
3227,negative,0.3,14133
3228,negative,0.2,32094
3229,positive,0.3,1110
3230,positive,0.1,12086
3231,positive,1.0,35651
3232,positive,0.9,2817
3233,positive,0.8,1259
3234,negative,0.2,23680
3235,positive,0.9,26385
3236,positive,0.9,22644
3237,negative,0.3,38834
3238,negative,0.0,1658
3239,negative,0.1,8863
3240,negative,0.8,62
3241,positive,1.0,10773
3242,negative,1.0,37370
3243,positive,0.9,2586
3244,negative,0.3,13546
3245,negative,0.2,30446
3246,positive,0.8,35592
3247,positive,1.0,12466
3248,positive,0.0,32036
3249,positive,1.0,21974
3250,negative,0.8,24288
3251,negative,0.8,32809
3252,positive,0.0,16459
3253,negative,0.8,23111
3254,negative,0.2,22494
3255,negative,0.3,35071
3256,negative,0.2,30578
3257,positive,0.3,16200
3258,negative,0.1,4961
3259,positive,0.8,25356
3260,positive,0.8,30374
3261,negative,0.3,15108
3262,positive,0.8,18832
3263,positive,0.8,9378
3264,positive,1.0,3451
3265,positive,0.9,17678
3266,positive,1.0,30884
3267,negative,0.8,23281
3268,negative,0.2,27449
3269,positive,0.3,33116
3270,positive,0.3,1891
3271,positive,0.9,16917
3272,positive,0.8,2718
3273,negative,0.2,17753
3274,negative,0.9,19021
3275,positive,0.8,11867
3276,positive,0.3,5749
3277,negative,0.0,219
3278,negative,0.1,1074
3279,negative,0.9,30364
3280,negative,0.8,24674
3281,positive,0.2,9874
3282,positive,0.75,36172
3283,positive,0.9,24064
3284,negative,0.8,21950
3285,negative,0.9,29553
3286,negative,0.8,12071
3287,positive,0.9,12394
3288,negative,0.8,7163
3289,negative,0.2,22221
3290,negative,0.2,30446
3291,positive,1.0,28544
3292,positive,1.0,24679
3293,positive,0.8,34022
3294,positive,0.3,13546
3295,positive,0.8,35592
3296,negative,0.8,36956
3297,negative,0.0,19257
3298,positive,0.9,7267
3299,negative,0.25,11365
3300,negative,0.0,3735
3301,positive,0.8,38388
3302,negative,0.1,16849
3303,positive,0.3,24165
3304,positive,1.0,7110
3305,negative,0.3,25768
3306,positive,1.0,28547
3307,negative,0.0,32036
3308,negative,0.3,11762
3309,negative,0.8,23271
3310,negative,0.8,29438
3311,negative,0.1,36110
3312,negative,0.8,38840
3313,negative,0.2,30446
3314,positive,1.0,16188
3315,negative,0.9,6367
3316,negative,0.1,28698
3317,positive,1.0,8164
3318,negative,0.2,2642
3319,negative,0.2,30446
3320,negative,0.8,35592
3321,positive,0.3,11036
3322,negative,1.0,26166
3323,negative,0.3,5847
3324,positive,0.8,18832
3325,positive,0.9,35714
3326,positive,1.0,32182
3327,positive,1.0,26166
3328,positive,0.9,18437
3329,positive,0.2,703
3330,positive,0.9,31856
3331,positive,1.0,32884
3332,positive,0.38,33852
3333,positive,1.0,2609
3334,positive,0.9,37333
3335,positive,0.9,36225
3336,negative,0.0,16258
3337,positive,1.0,427
3338,negative,0.3,30829
3339,negative,0.0,7180
3340,positive,0.75,13149
3341,negative,0.1,37657
3342,negative,0.0,16459
3343,negative,0.0,25374
3344,positive,0.8,35325
3345,negative,0.9,16917
3346,negative,0.8,11279
3347,negative,0.3,280
3348,positive,0.9,9067
3349,negative,1.0,9945
3350,negative,0.3,7677
3351,negative,0.8,7882
3352,positive,1.0,14474
3353,negative,0.9,8294
3354,negative,1.0,1377
3355,negative,0.3,12526
3356,negative,0.8,16700
3357,negative,0.0,22574
3358,negative,0.8,38794
3359,positive,1.0,30258
3360,positive,0.9,29103
3361,negative,0.1,12922
3362,negative,0.8,36336
3363,positive,1.0,2631
3364,negative,0.3,5749
3365,positive,1.0,30027
3366,positive,0.3,24217
3367,positive,0.3,38578
3368,positive,0.1,6490
3369,positive,0.8,6671
3370,negative,0.3,17985
3371,positive,0.9,36352
3372,positive,0.8,33001
3373,negative,0.8,23271
3374,negative,0.3,28618
3375,positive,1.0,27896
3376,negative,0.0,32036
3377,positive,1.0,17314
3378,negative,0.8,2711
3379,positive,1.0,19169
3380,negative,0.3,27926
3381,negative,0.1,15267
3382,positive,1.0,21674
3383,negative,1.0,11933
3384,positive,0.9,26235
3385,positive,0.8,38870
3386,negative,0.1,12086
3387,negative,0.2,2764
3388,positive,0.9,8561
3389,positive,1.0,28230
3390,negative,0.8,18832
3391,positive,0.9,28898
3392,negative,0.0,32329
3393,positive,0.9,37081
3394,negative,0.1,38296
3395,positive,0.8,7877
3396,negative,0.0,12445
3397,positive,0.8,8062
3398,negative,0.3,5749
3399,negative,0.0,1658
3400,positive,1.0,21910
3401,positive,0.8,18602
3402,positive,0.9,19021
3403,positive,0.9,5415
3404,positive,1.0,28252
3405,positive,0.1,6596
3406,negative,0.2,30446
3407,negative,0.9,6589
3408,negative,0.8,31360
3409,positive,0.8,2711
3410,positive,0.8,20914
3411,negative,0.0,9604
3412,negative,0.2,35511
3413,positive,0.2,28906
3414,positive,0.8,14309
3415,negative,1.0,4128
3416,negative,0.3,33116
3417,negative,0.9,19021
3418,positive,1.0,13382
3419,positive,0.0,38326
3420,positive,1.0,22504
3421,negative,0.3,8355
3422,positive,0.9,19323
3423,positive,0.8,15134
3424,positive,1.0,10120
3425,positive,0.9,2822
3426,positive,0.8,23486
3427,positive,1.0,37737
3428,positive,0.1,34484
3429,negative,0.9,20701
3430,negative,0.9,19472
3431,negative,0.25,22988
3432,negative,0.9,21942
3433,negative,0.8,21497
3434,positive,0.8,19720
3435,negative,0.3,34040
3436,positive,0.3,33343
3437,positive,0.2,30446
3438,negative,0.0,22574
3439,positive,1.0,5195
3440,positive,0.9,8294
3441,negative,0.8,35592
3442,positive,1.0,32884
3443,negative,0.0,32036
3444,negative,1.0,8962
3445,negative,0.2,23680
3446,positive,0.9,17491
3447,negative,0.0,29795
3448,negative,0.93,18150
3449,positive,1.0,31574
3450,negative,0.1,9156
3451,positive,0.8,10352
3452,negative,0.3,37349
3453,positive,1.0,749
3454,positive,0.8,9802
3455,positive,0.2,16433
3456,negative,0.8,31290
3457,positive,0.8,37157
3458,positive,1.0,28492
3459,negative,0.1,12086
3460,positive,1.0,31962
3461,negative,0.8,29837
3462,negative,0.8,9278
3463,negative,0.8,7163
3464,negative,0.2,37420
3465,positive,0.9,18020
3466,positive,0.1,38112
3467,positive,0.8,32095
3468,negative,0.9,2807
3469,positive,0.3,1785
3470,positive,0.9,9024
3471,negative,0.1,35757
3472,negative,1.0,20041
3473,positive,1.0,34131
3474,negative,0.0,30088
3475,negative,0.0,6668
3476,positive,0.8,32212
3477,positive,0.9,34753
3478,negative,0.3,33343
3479,negative,0.2,16433
3480,positive,0.9,20199
3481,negative,0.2,30446
3482,negative,1.0,13551
3483,positive,1.0,19144
3484,positive,0.9,24064
3485,negative,0.1,26704
3486,positive,0.9,29526
3487,positive,0.8,19718
3488,positive,1.0,28164
3489,positive,0.2,35139
3490,positive,0.2,16433
3491,positive,0.0,25656
3492,positive,1.0,10218
3493,positive,0.8,30469
3494,negative,0.2,12006
3495,positive,0.2,16433
3496,positive,0.2,23680
3497,positive,1.0,22304
3498,positive,0.2,34601
3499,positive,1.0,7709
3500,negative,0.9,38486
3501,positive,0.3,11079
3502,positive,1.0,8744
3503,negative,0.8,15176
3504,positive,1.0,13712
3505,positive,0.9,16299
3506,positive,1.0,22304
3507,negative,0.0,18545
3508,negative,0.1,12086
3509,negative,0.1,18964
3510,negative,0.8,23281
3511,negative,0.88,18354
3512,positive,0.3,18382
3513,positive,0.9,28113
3514,positive,0.8,18701
3515,negative,0.8,19193
3516,negative,0.9,15449
3517,negative,0.3,8704
3518,positive,0.0,32036
3519,negative,0.3,14133
3520,positive,1.0,229
3521,positive,0.3,13740
3522,negative,0.2,19335
3523,negative,0.1,38296
3524,positive,0.0,33395
3525,positive,0.3,18382
3526,negative,1.0,15185
3527,negative,0.2,6810
3528,positive,0.3,29326
3529,negative,0.1,15101
3530,positive,0.3,24090
3531,positive,0.8,38870
3532,positive,0.9,305
3533,negative,0.3,31886
3534,positive,1.0,20921
3535,positive,0.3,29186
3536,positive,1.0,37774
3537,negative,0.2,23680
3538,positive,0.9,15731
3539,positive,1.0,8318
3540,positive,0.3,38578
3541,positive,0.2,33684
3542,positive,0.3,2686
3543,negative,0.8,23271
3544,negative,0.2,23680
3545,negative,1.0,23513
3546,negative,0.8,17397
3547,negative,0.3,11079
3548,negative,0.2,9432
3549,positive,0.8,20964
3550,positive,0.8,12733
3551,negative,0.2,28186
3552,negative,0.0,4066
3553,negative,0.8,27043
3554,positive,1.0,11933
3555,positive,0.9,32959
3556,negative,1.0,34517
3557,positive,1.0,38687
3558,positive,1.0,28230
3559,positive,0.2,33684
3560,negative,0.1,28207
3561,negative,0.3,26193
3562,negative,0.8,24674
3563,negative,0.0,219
3564,negative,0.0,35655
3565,positive,1.0,25424
3566,negative,0.8,32684
3567,positive,0.9,305
3568,positive,1.0,31500
3569,negative,0.8,7724
3570,negative,0.0,23284
3571,positive,0.9,36225
3572,positive,0.8,6583
3573,positive,1.0,23243
3574,negative,0.1,25899
3575,positive,1.0,31774
3576,positive,0.8,18939
3577,negative,0.8,23281
3578,negative,0.8,35033
3579,negative,0.0,7668
3580,negative,0.9,27708
3581,negative,0.1,25278
3582,positive,0.8,14062
3583,negative,1.0,1232
3584,positive,1.0,38223
3585,positive,1.0,18597
3586,negative,0.8,14892
3587,positive,1.0,7596
3588,negative,0.1,3440
3589,negative,0.2,23680
3590,positive,0.2,6181
3591,negative,0.1,3344
3592,negative,0.1,21797
3593,positive,0.9,8763
3594,negative,0.1,30199
3595,positive,1.0,37079
3596,positive,0.3,31902
3597,negative,0.3,26796
3598,positive,0.91,35734
3599,positive,0.9,522
3600,positive,0.8,37046
3601,negative,0.8,5249
3602,positive,0.9,14212
3603,positive,0.8,8129
3604,positive,0.8,9802
3605,negative,0.9,8294
3606,negative,0.3,38635
3607,negative,0.75,16192
3608,negative,0.1,34216
3609,positive,0.8,28873
3610,positive,0.8,410
3611,positive,0.9,31093
3612,positive,1.0,24787
3613,positive,0.9,7353
3614,positive,0.89,6191
3615,negative,0.3,19516
3616,positive,0.8,14062
3617,negative,0.8,37582
3618,positive,0.1,13389
3619,positive,0.8,9378
3620,negative,0.75,5747
3621,negative,1.0,20247
3622,positive,0.9,23239
3623,positive,0.0,5090
3624,positive,0.0,16473
3625,negative,0.2,16433
3626,negative,0.0,16258
3627,positive,1.0,5943
3628,negative,0.9,27743
3629,negative,1.0,4430
3630,negative,1.0,28149
3631,positive,0.1,21797
3632,positive,0.1,28207
3633,positive,0.9,36872
3634,negative,0.3,5847
3635,positive,0.8,3621
3636,negative,0.75,2829
3637,positive,0.8,11945
3638,negative,0.3,38065
3639,positive,0.9,23500
3640,negative,0.0,14643
3641,negative,0.0,23496
3642,negative,0.1,22767
3643,positive,1.0,19407
3644,positive,0.2,34730
3645,negative,1.0,37246
3646,negative,0.1,16339
3647,negative,0.3,8853
3648,positive,0.9,5353
3649,negative,0.8,32966
3650,negative,0.2,6810
3651,positive,0.1,6596
3652,positive,0.9,30071
3653,positive,0.9,35603
3654,positive,0.1,34484
3655,positive,0.8,38582
3656,positive,1.0,29138
3657,negative,0.2,23680
3658,negative,0.1,206
3659,negative,0.8,22735
3660,positive,0.0,5552
3661,negative,0.1,4961
3662,negative,0.1,34112
3663,negative,0.0,26373
3664,positive,0.3,20918
3665,positive,0.9,31857
3666,positive,0.9,28859
3667,positive,1.0,21592
3668,positive,1.0,34784
3669,negative,0.8,22869
3670,negative,0.8,35592
3671,positive,0.1,3180
3672,negative,0.1,206
3673,negative,0.2,30446
3674,positive,0.9,29103
3675,positive,1.0,29237
3676,negative,0.2,13547
3677,positive,0.2,30446
3678,negative,1.0,22734
3679,negative,0.8,32966
3680,negative,0.2,11623
3681,negative,0.3,14133
3682,positive,1.0,8024
3683,positive,0.1,15267
3684,negative,0.8,7601
3685,positive,1.0,21773
3686,negative,0.9,27705
3687,positive,1.0,20247
3688,negative,0.1,9741
3689,negative,0.2,37318
3690,positive,1.0,4367
3691,negative,0.0,8721
3692,negative,0.3,28653
3693,positive,0.0,6904
3694,negative,0.0,26456
3695,positive,1.0,3072
3696,negative,0.1,16339
3697,positive,1.0,37710
3698,negative,0.3,11886
3699,positive,1.0,440
3700,positive,1.0,16163
3701,positive,0.8,36406
3702,negative,0.0,18588
3703,positive,0.1,37039
3704,positive,0.8,11589
3705,negative,0.2,7403
3706,negative,1.0,25429
3707,positive,1.0,18213
3708,negative,0.1,28670
3709,negative,1.0,11859
3710,positive,0.8,20368
3711,positive,0.9,11550
3712,negative,0.2,16433
3713,positive,0.3,29872
3714,positive,0.3,26887
3715,negative,0.3,13740
3716,negative,0.75,14765
3717,negative,0.2,33684
3718,negative,0.75,22918
3719,negative,0.3,27913
3720,positive,1.0,25228
3721,positive,0.9,7076
3722,positive,0.9,21446
3723,negative,0.0,27148
3724,positive,0.0,32036
3725,negative,0.1,3180
3726,negative,0.8,21006
3727,negative,0.2,30446
3728,positive,1.0,17501
3729,negative,0.0,12486
3730,negative,0.3,33116
3731,positive,1.0,36596
3732,negative,0.2,26167
3733,positive,0.8,4899
3734,positive,0.1,13270
3735,positive,0.8,14963
3736,negative,0.8,23281
3737,positive,0.9,34614
3738,negative,1.0,6530
3739,positive,1.0,37484
3740,negative,0.2,16433
3741,negative,0.3,10550
3742,positive,0.0,27754
3743,negative,0.8,35592
3744,positive,0.9,19021
3745,negative,0.3,12526
3746,negative,1.0,34131
3747,negative,0.0,1659
3748,positive,1.0,32182
3749,positive,0.8,18387
3750,negative,0.2,16433
3751,negative,1.0,25983
3752,positive,0.2,34649
3753,positive,0.8,1097
3754,positive,0.8,9378
3755,positive,1.0,15415
3756,positive,0.2,27449
3757,positive,0.3,13607
3758,positive,0.8,17358
3759,positive,0.8,26357
3760,positive,0.8,19637
3761,negative,0.1,12086
3762,negative,0.9,21195
3763,negative,0.0,32968
3764,negative,0.9,35152
3765,positive,0.8,18807
3766,negative,1.0,32182
3767,positive,1.0,26655
3768,positive,0.2,37420
3769,negative,0.9,18260
3770,negative,0.8,23281
3771,negative,1.0,21785
3772,positive,0.9,14189
3773,negative,0.8,26878
3774,positive,0.0,29904
3775,negative,0.9,20311
3776,negative,0.8,33542
3777,negative,0.1,6596
3778,negative,1.0,30045
3779,positive,1.0,34157
3780,negative,0.8,7508
3781,positive,0.3,14133
3782,positive,0.8,25428
3783,negative,1.0,23625
3784,positive,1.0,38099
3785,positive,0.8,10865
3786,positive,0.9,16852
3787,negative,0.1,16339
3788,positive,0.38,5591
3789,positive,1.0,14947
3790,positive,0.75,12949
3791,positive,0.8,22922
3792,positive,1.0,27127
3793,positive,1.0,30910
3794,positive,1.0,34131
3795,positive,0.8,19023
3796,positive,0.9,15508
3797,positive,1.0,7709
3798,negative,0.2,16393
3799,positive,0.0,29795
3800,negative,0.0,32036
3801,positive,1.0,19144
3802,positive,0.2,16393
3803,positive,0.9,141
3804,negative,0.1,12086
3805,positive,1.0,32420
3806,positive,0.2,14653
3807,negative,0.3,5847
3808,negative,0.1,17419
3809,negative,0.1,19800
3810,positive,0.0,32036
3811,positive,0.9,27761
3812,negative,0.3,35071
3813,positive,0.9,10567
3814,positive,0.8,31547
3815,positive,0.0,28508
3816,negative,0.8,35592
3817,negative,0.1,33729
3818,positive,0.9,21760
3819,negative,0.2,12069
3820,positive,1.0,15230
3821,positive,0.0,35727
3822,positive,0.9,8474
3823,negative,0.0,20925
3824,negative,0.8,19718
3825,positive,0.8,15176
3826,positive,1.0,3628
3827,positive,1.0,26893
3828,negative,0.1,27314
3829,negative,0.3,26887
3830,positive,0.3,27913
3831,positive,0.8,34022
3832,negative,0.0,219
3833,positive,0.9,20765
3834,negative,0.8,9886
3835,positive,0.8,23271
3836,negative,0.2,32276
3837,negative,0.8,4899
3838,positive,0.9,27165
3839,positive,1.0,30045
3840,positive,0.2,14653
3841,negative,0.1,6490
3842,negative,0.2,34758
3843,negative,0.1,38296
3844,positive,0.0,22574
3845,positive,0.0,23952
3846,negative,0.3,38635
3847,negative,1.0,20170
3848,negative,0.0,11193
3849,negative,0.3,33363
3850,positive,0.2,7475
3851,positive,0.8,37467
3852,negative,0.3,24500
3853,negative,0.1,16339
3854,positive,0.9,35152
3855,negative,0.9,5493
3856,negative,0.38,23033
3857,negative,0.25,18120
3858,negative,0.8,19993
3859,negative,1.0,28230
3860,positive,0.9,7701
3861,positive,0.3,38834
3862,negative,0.1,34362
3863,positive,0.9,21360
3864,negative,0.0,13523
3865,negative,0.2,451
3866,positive,0.1,3013
3867,positive,0.3,38834
3868,positive,0.9,2807
3869,positive,0.9,24451
3870,positive,1.0,30045
3871,negative,0.1,206
3872,negative,0.9,38004
3873,positive,1.0,17235
3874,negative,0.0,36801
3875,negative,0.8,7508
3876,negative,0.2,16433
3877,negative,1.0,24134
3878,negative,0.3,35477
3879,negative,0.0,19257
3880,positive,1.0,14529
3881,negative,0.3,20796
3882,positive,0.89,6191
3883,positive,0.9,24063
3884,negative,0.0,32036
3885,negative,0.3,24500
3886,negative,1.0,9194
3887,positive,0.3,18382
3888,negative,0.0,3006
3889,negative,1.0,27231
3890,positive,0.3,22250
3891,positive,1.0,6672
3892,negative,1.0,22639
3893,positive,0.9,35714
3894,negative,0.2,32094
3895,positive,1.0,32884
3896,positive,0.9,9067
3897,negative,0.2,9432
3898,negative,0.9,8294
3899,positive,0.8,1462
3900,negative,0.3,9451
3901,negative,0.1,36354
3902,negative,0.1,16339
3903,negative,0.1,5076
3904,positive,0.3,13607
3905,negative,0.8,32966
3906,negative,0.9,27569
3907,positive,0.91,11817
3908,positive,1.0,24772
3909,positive,0.1,5742
3910,positive,0.1,19501
3911,positive,1.0,21137
3912,positive,0.8,16429
3913,negative,0.2,19052
3914,positive,1.0,20247
3915,positive,0.8,9014
3916,negative,0.8,26400
3917,positive,0.8,7435
3918,positive,0.1,32325
3919,positive,0.8,27336
3920,negative,1.0,17908
3921,negative,0.0,31017
3922,positive,1.0,1323
3923,positive,0.0,13155
3924,positive,0.0,8370
3925,positive,0.9,12245
3926,positive,1.0,10536
3927,positive,0.1,20998
3928,positive,1.0,2216
3929,negative,1.0,27896
3930,positive,0.2,18246
3931,positive,1.0,30729
3932,negative,0.1,37657
3933,positive,1.0,28230
3934,negative,1.0,20069
3935,negative,0.0,29987
3936,positive,0.3,38834
3937,positive,1.0,6672
3938,negative,1.0,9194
3939,negative,0.2,30446
3940,positive,0.8,31990
3941,positive,1.0,2631
3942,positive,0.2,30446
3943,positive,0.8,31305
3944,negative,0.2,16393
3945,negative,0.9,19041
3946,positive,0.9,16917
3947,positive,0.89,6191
3948,positive,0.1,12086
3949,positive,0.9,15345
3950,positive,1.0,15125
3951,negative,0.2,22820
3952,positive,1.0,37246
3953,positive,0.8,18252
3954,positive,1.0,19032
3955,positive,0.8,36587
3956,positive,0.9,14111
3957,positive,0.1,13270
3958,positive,1.0,35740
3959,positive,0.8,2109
3960,positive,0.9,27761
3961,positive,0.9,2230
3962,negative,1.0,10733
3963,positive,0.9,35229
3964,negative,0.3,5749
3965,positive,1.0,29280
3966,positive,1.0,30083
3967,positive,1.0,3554
3968,positive,1.0,24998
3969,negative,0.8,21228
3970,positive,0.8,38388
3971,positive,1.0,9194
3972,positive,0.8,7697
3973,negative,0.0,13523
3974,negative,0.8,38284
3975,positive,0.9,14780
3976,negative,0.0,9546
3977,negative,0.8,14559
3978,positive,0.8,20357
3979,positive,1.0,7709
3980,negative,0.2,30578
3981,positive,0.2,30446
3982,positive,0.9,9
3983,negative,1.0,4078
3984,positive,0.8,30858
3985,positive,0.2,703
3986,positive,0.8,14234
3987,negative,0.1,12086
3988,positive,1.0,2954
3989,positive,0.8,22648
